tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.45005259888893173,0.7542349726775956,0.9989626556016598,0.2824,0.7543715846994535,0.2818363273453094
100,0.8503511065066703,0.7412909836065574,0.624792531120332,0.9659,0.7427937158469945,0.5604618776836486
200,0.8846626743099519,0.8388319672131147,0.783298755186722,0.9459,0.8398565573770492,0.6671603893355903
300,0.8927649186443805,0.8719945355191256,0.841597510373444,0.9306,0.8728483606557377,0.712884939482151
400,0.8934218248243966,0.8890368852459016,0.8766597510373444,0.9129,0.8897882513661202,0.7375181774115366
500,0.8908741200875911,0.8970628415300547,0.8981327800829876,0.895,0.8976434426229508,0.7480775660314276
600,0.8882662885449552,0.9025273224043716,0.9143672199170124,0.8797,0.9030396174863388,0.7550424856235516
700,0.8847656087473905,0.905327868852459,0.9267116182572614,0.8641,0.9057377049180327,0.7571190747393324
800,0.8790768463014689,0.9055669398907104,0.9359958506224066,0.8469,0.9058743169398907,0.7538721737582339
900,0.8730112853915131,0.9050204918032787,0.9435165975103734,0.8308,0.9052937158469946,0.7492109297502029
1000,0.8656166072037949,0.9029713114754099,0.9489107883817427,0.8144,0.9031762295081968,0.7413746017296313
1100,0.8581487157088752,0.9010928961748634,0.9544605809128631,0.7982,0.9012978142076503,0.733774590917448
1200,0.8518477151888125,0.8996243169398908,0.9596991701244814,0.7838,0.8998292349726776,0.7272895982184281
1300,0.8438596907658035,0.8965163934426229,0.9628112033195021,0.7687,0.8967213114754098,0.7172716245217878
1400,0.8361918722073761,0.8936475409836065,0.9659751037344398,0.7542,0.8938524590163934,0.7077702702702703
1500,0.8258688494889797,0.8893101092896175,0.9685684647302905,0.7365,0.8895491803278689,0.6944182538185932
1600,0.8174564172426858,0.8862021857923498,0.9716286307053942,0.7215,0.886441256830601,0.6840807812648146
1700,0.8097354538157376,0.8833333333333333,0.9741701244813278,0.7082,0.8836065573770492,0.6746046866069727
1800,0.8002757397922953,0.8796448087431694,0.9764004149377593,0.6931,0.8799180327868853,0.6629363940698231
1900,0.7901761250402273,0.8753073770491804,0.9779045643153527,0.6775,0.8755464480874317,0.6498177632840975
2000,0.7802755018270889,0.871448087431694,0.979408713692946,0.6633,0.8717213114754099,0.6379724920650187
