tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.555,0.683,0.998,0.999,0.683,0.368,0.794
100,0.844,0.645,0.380,0.995,0.648,0.911,0.813
200,0.846,0.679,0.463,0.996,0.681,0.895,0.841
300,0.848,0.710,0.537,0.996,0.712,0.884,0.855
400,0.849,0.735,0.597,0.996,0.736,0.873,0.862
500,0.849,0.756,0.649,0.997,0.757,0.863,0.865
600,0.849,0.775,0.697,0.997,0.776,0.852,0.867
700,0.848,0.788,0.735,0.997,0.789,0.841,0.868
800,0.847,0.800,0.769,0.997,0.801,0.831,0.869
900,0.847,0.809,0.795,0.997,0.811,0.823,0.869
1000,0.846,0.817,0.820,0.997,0.819,0.814,0.869
