tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner_std,outer_medio,outer_std,halfpoint_medio,halfpoint_std
0,0.6306541516829907,0.10103465714475887,0.6061264822134388,0.1143611531057929,0.40553359683794465,0.21409064547667636,0.8067193675889328,0.08589361157372764,0.6061264822134388,0.1143611531057929,0.5142332942045998,0.07601495215648978
10,0.6245894694244049,0.08825136172156686,0.6142292490118577,0.07734724427805904,0.308300395256917,0.1894101499621515,0.9201581027667984,0.06032817084059735,0.6142292490118577,0.07734724427805904,0.5477250030446961,0.0428048601392014
20,0.642999763248047,0.08844796411872075,0.6274703557312253,0.08229036382911388,0.3521739130434782,0.20318819905300733,0.9027667984189722,0.0531822551511594,0.6274703557312253,0.08229036382911388,0.5528070622188269,0.04569427621393836
30,0.6394345085756873,0.08483510184733965,0.6187747035573122,0.08492138784091957,0.3786561264822134,0.2049916844991666,0.8588932806324111,0.060431667521316665,0.6187747035573122,0.08492138784091957,0.5347195696460403,0.047131743988901895
40,0.6306541516829907,0.10103465714475887,0.6061264822134388,0.1143611531057929,0.40553359683794465,0.21409064547667636,0.8067193675889328,0.08589361157372764,0.6061264822134388,0.1143611531057929,0.5142332942045998,0.07601495215648978
50,0.6306541516829907,0.10103465714475887,0.6061264822134388,0.1143611531057929,0.40553359683794465,0.21409064547667636,0.8067193675889328,0.08589361157372764,0.6061264822134388,0.1143611531057929,0.5142332942045998,0.07601495215648978
60,0.6306541516829907,0.10103465714475887,0.6061264822134388,0.1143611531057929,0.40553359683794465,0.21409064547667636,0.8067193675889328,0.08589361157372764,0.6061264822134388,0.1143611531057929,0.5142332942045998,0.07601495215648978
