tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.224,0.550,1.000,1.000,0.550,0.099,0.794
100,0.833,0.778,0.748,0.998,0.779,0.808,0.813
200,0.833,0.803,0.812,0.999,0.803,0.793,0.841
300,0.832,0.817,0.856,0.999,0.818,0.778,0.855
400,0.830,0.827,0.890,0.999,0.827,0.764,0.862
500,0.828,0.834,0.916,0.999,0.834,0.751,0.865
600,0.825,0.836,0.936,0.999,0.837,0.737,0.867
700,0.821,0.837,0.951,0.999,0.838,0.723,0.868
800,0.815,0.835,0.960,0.999,0.836,0.710,0.869
900,0.809,0.832,0.969,0.999,0.832,0.695,0.869
1000,0.799,0.827,0.976,0.999,0.827,0.678,0.869
