tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.45005259888893173,0.7542349726775956,0.9989626556016598,0.2824,0.7543715846994535,0.2818363273453094
100,0.8522025331987391,0.744535519125683,0.6297199170124481,0.9659,0.7460382513661202,0.5635684695723204
200,0.8858403586564324,0.8400956284153005,0.7852178423236514,0.9459,0.841120218579235,0.6689060179619546
300,0.8933010773279354,0.8727117486338798,0.8426867219917012,0.9306,0.8735655737704918,0.7140336069976214
400,0.893988076234504,0.8896857923497268,0.8776452282157676,0.9129,0.8904371584699453,0.7386519944979367
500,0.8909935130344713,0.8972677595628415,0.8984439834024897,0.895,0.8978483606557377,0.7484529185482522
600,0.8886579808006826,0.9029030054644809,0.9149377593360996,0.8797,0.9034153005464481,0.7557560137457044
700,0.8849895384720438,0.9055327868852459,0.9270228215767635,0.8641,0.9059426229508196,0.757517313930043
800,0.8792724929657202,0.9058060109289617,0.9363589211618257,0.8469,0.9061133879781421,0.7543422107419614
900,0.8730763041132669,0.9051229508196721,0.9436721991701245,0.8308,0.905396174863388,0.749413674905286
1000,0.8657088027989698,0.9031079234972678,0.9491182572614107,0.8144,0.9033128415300546,0.7416446589563792
1100,0.8582690545990258,0.9012295081967213,0.9546680497925312,0.7982,0.9014344262295082,0.7340445098399853
1200,0.8521311653196115,0.899863387978142,0.9600622406639004,0.7838,0.9000683060109289,0.7277623026926648
1300,0.8439296537348304,0.8966188524590164,0.9630186721991701,0.7686,0.8968237704918033,0.7174460935312238
1400,0.8364440794587531,0.8938524590163934,0.9662344398340249,0.7543,0.8940573770491803,0.7081964134823021
1500,0.8261536766093127,0.8895833333333333,0.9689834024896266,0.7365,0.8898224043715847,0.6949424419701831
1600,0.8177637505666564,0.8864754098360655,0.9720435684647303,0.7215,0.8867144808743169,0.6846000569313977
1700,0.809876165473523,0.8834699453551913,0.9743775933609958,0.7082,0.8837431693989071,0.674861825805222
1800,0.8003080020134007,0.8796789617486339,0.9764522821576763,0.6931,0.8799521857923497,0.6629998086856705
1900,0.790208997281357,0.8753415300546448,0.9779564315352697,0.6775,0.8755806010928961,0.6498800959232613
2000,0.7804366006023365,0.8715846994535519,0.9796161825726141,0.6633,0.8718579234972678,0.6382180313672664
