tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.389,0.609,0.999,0.998,0.610,0.220,0.841
100,0.842,0.625,0.330,0.993,0.628,0.919,0.876
200,0.847,0.666,0.426,0.994,0.669,0.906,0.883
300,0.851,0.707,0.522,0.994,0.709,0.892,0.886
400,0.853,0.741,0.605,0.996,0.743,0.878,0.887
500,0.853,0.767,0.673,0.996,0.769,0.862,0.887
600,0.852,0.786,0.726,0.997,0.788,0.847,0.887
700,0.851,0.804,0.774,0.998,0.805,0.833,0.886
800,0.850,0.818,0.815,0.998,0.819,0.820,0.886
900,0.847,0.825,0.843,0.998,0.826,0.807,0.886
1000,0.845,0.831,0.867,0.998,0.832,0.795,0.885
