tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.19230710478614785,0.6851092896174863,0.9991182572614108,0.0797,0.6851092896174863,0.07956473994209844
100,0.821229178194084,0.7006830601092896,0.583246887966805,0.9271,0.7015027322404371,0.5140560022179096
200,0.8424438526265138,0.7986680327868853,0.7556535269709543,0.8816,0.79900956284153,0.5992794507511386
300,0.8334015733519106,0.8283811475409836,0.825414937759336,0.8341,0.828620218579235,0.6240460870866378
400,0.8138550538857188,0.8386953551912568,0.8645746887966805,0.7888,0.8388661202185792,0.6254856870985648
500,0.7919129848114408,0.8414617486338798,0.8897302904564315,0.7484,0.8415983606557377,0.6171862114464787
600,0.7696459609599802,0.8407786885245901,0.9079875518672199,0.7112,0.8409494535519125,0.6040428061831153
700,0.7507372106573825,0.8396857923497267,0.9225103734439835,0.68,0.8398565573770492,0.5916130154863407
800,0.728112539123456,0.8349385245901639,0.9321058091286307,0.6476,0.8350751366120218,0.5726412591741091
900,0.7067884167470981,0.8307035519125683,0.9412344398340249,0.6176,0.8307718579234973,0.5547471481182071
1000,0.6886988677741521,0.8265027322404371,0.9476141078838174,0.593,0.8265710382513661,0.5386012715712988
1100,0.6682493229261098,0.821584699453552,0.9532157676348548,0.5678,0.8216188524590164,0.520821867547239
1200,0.6496260703043858,0.8167691256830601,0.958402489626556,0.5437,0.8167691256830601,0.5033327161636734
1300,0.6332495105961642,0.8126024590163935,0.9627593360995851,0.5231,0.8126024590163935,0.4880574734092181
1400,0.6186551367381509,0.8086407103825136,0.966545643153527,0.5042,0.8086407103825136,0.4736496007515265
1500,0.603127362206815,0.8038251366120218,0.9696058091286307,0.4842,0.8038592896174863,0.4573965614963159
1600,0.5887069283749746,0.7996243169398907,0.9721473029045643,0.467,0.7996584699453552,0.4432001518458764
1700,0.5752517134214403,0.7955601092896175,0.9748443983402489,0.4499,0.795594262295082,0.4290891750119218
1800,0.5641333530478789,0.7921448087431694,0.9776970954356846,0.4344,0.7921448087431694,0.4164908916586769
1900,0.5509509931800504,0.7874316939890711,0.979201244813278,0.4177,0.7874316939890711,0.40159600038457843
2000,0.537938678624671,0.7828210382513662,0.9806016597510373,0.4015,0.7828210382513662,0.38702525544630806
