tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.144,0.524,1.000,1.000,0.524,0.048,0.841
100,0.833,0.753,0.684,0.998,0.754,0.823,0.876
200,0.837,0.792,0.776,0.998,0.793,0.809,0.883
300,0.838,0.818,0.843,0.999,0.818,0.792,0.886
400,0.836,0.831,0.889,0.998,0.832,0.773,0.887
500,0.832,0.838,0.922,0.999,0.838,0.754,0.887
600,0.826,0.840,0.947,0.999,0.840,0.734,0.887
700,0.818,0.837,0.959,0.999,0.837,0.715,0.886
800,0.806,0.830,0.969,0.999,0.831,0.692,0.886
900,0.794,0.823,0.977,0.999,0.823,0.669,0.886
1000,0.780,0.814,0.982,0.999,0.814,0.646,0.885
