tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.21301608679143055,0.6891734972677596,0.9990663900414938,0.0917,0.6891734972677596,0.0915352365741665
100,0.81532134734402,0.6596311475409836,0.5100622406639004,0.948,0.6605532786885245,0.4875038568343104
200,0.8477822765983181,0.7765368852459016,0.7033713692946059,0.9176,0.7769808743169399,0.5837521470831478
300,0.8561751521869023,0.8243169398907104,0.7913381742738589,0.8879,0.8246584699453552,0.6331740711687941
400,0.8536490221445276,0.8456625683060109,0.8380705394190872,0.8603,0.8458333333333333,0.6556165218716659
500,0.8460792395801142,0.8568306010928962,0.8701244813278008,0.8312,0.8569672131147541,0.6647472808701216
600,0.8364229925879346,0.8619535519125683,0.8921680497925312,0.8037,0.8621243169398907,0.6653696498054474
700,0.826107160060936,0.8635245901639345,0.9077282157676348,0.7783,0.8636612021857923,0.660752186093896
800,0.8129512335806205,0.8625,0.921161825726141,0.7494,0.8625683060109289,0.6505208333333333
900,0.7973715522367183,0.8586407103825137,0.9301348547717843,0.7208,0.8587090163934427,0.6352339825504538
1000,0.7842420272635053,0.8558401639344262,0.9389004149377593,0.6957,0.8558401639344262,0.6223832528180354
1100,0.7661901192723853,0.8504439890710382,0.946109958506224,0.666,0.8504439890710382,0.6033155177099375
1200,0.7522260808066948,0.8463114754098361,0.9514522821576763,0.6436,0.8463114754098361,0.5885149963423555
1300,0.7362089939733192,0.8412226775956284,0.9564834024896266,0.619,0.8412226775956284,0.5710858935326137
1400,0.7212655110521119,0.8363387978142076,0.9604771784232365,0.597,0.8363387978142076,0.554729604162795
1500,0.7084502174057469,0.8324795081967213,0.9647302904564315,0.5775,0.8324795081967213,0.5407303370786517
1600,0.6938505986788578,0.8273907103825137,0.9678423236514523,0.5566,0.8273907103825137,0.524105461393597
1700,0.6801751335970209,0.8229508196721311,0.970954356846473,0.5376,0.8229508196721311,0.509090909090909
1800,0.6647246745512092,0.8181693989071038,0.9742219917012448,0.5173,0.8181693989071038,0.4928074688006097
1900,0.6506141152285282,0.8135587431693989,0.9765560165975103,0.4993,0.8135587431693989,0.47770761576731724
2000,0.6352002110276009,0.8083674863387978,0.9783713692946058,0.4806,0.8083674863387978,0.4613612364404339
