tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.21301608679143055,0.6891734972677596,0.9990663900414938,0.0917,0.6891734972677596,0.0915352365741665
100,0.8141697119338288,0.6577185792349727,0.5071576763485477,0.948,0.6586407103825137,0.4861039893344272
200,0.8466888671484628,0.7750341530054645,0.7010892116182572,0.9176,0.7754781420765028,0.582122692380892
300,0.8555201150258167,0.8237021857923498,0.7904045643153527,0.8879,0.8240437158469945,0.6323623673527526
400,0.8532444356331048,0.8452185792349727,0.837396265560166,0.8603,0.8453893442622951,0.654967643700038
500,0.8457676408899363,0.8565232240437158,0.8696576763485477,0.8312,0.8566598360655737,0.6642691600735235
600,0.8360802605084628,0.861646174863388,0.8917012448132781,0.8037,0.8618169398907104,0.6648742554599603
700,0.8259273969235846,0.8633879781420765,0.9075207468879668,0.7783,0.8635245901639345,0.660527879147925
800,0.8127957123165639,0.862363387978142,0.920954356846473,0.7494,0.862431693989071,0.6502950364456785
900,0.7972260913321942,0.8584699453551913,0.9298755186721992,0.7208,0.8585382513661202,0.634954193093728
1000,0.7841372372789674,0.8557035519125683,0.9386929460580913,0.6957,0.8557035519125683,0.6221606152745484
1100,0.7661034459910336,0.8503073770491804,0.945902489626556,0.666,0.8503073770491804,0.6030969845150774
1200,0.7521378483441855,0.8462431693989071,0.9513485477178423,0.6436,0.8462431693989071,0.5884073870908758
1300,0.7361397678769029,0.8411543715846994,0.9563796680497926,0.619,0.8411543715846994,0.570980536850844
1400,0.7211523591727483,0.8362704918032787,0.9603734439834025,0.597,0.8363046448087431,0.5546265328874025
1500,0.7083074257867006,0.8323428961748633,0.9645228215767635,0.5775,0.8323428961748633,0.5405278921752152
1600,0.6938505986788578,0.8273907103825137,0.9678423236514523,0.5566,0.8273907103825137,0.524105461393597
1700,0.6801462579147762,0.8229166666666666,0.970902489626556,0.5376,0.8229166666666666,0.5090427042893665
1800,0.6646212735183801,0.8180669398907103,0.9740663900414938,0.5173,0.8180669398907103,0.49266666666666664
1900,0.6505700240024768,0.8135245901639344,0.9765041493775933,0.4993,0.8135245901639344,0.47766191523964413
2000,0.6350822519206786,0.8082650273224044,0.9782157676348547,0.4806,0.8082650273224044,0.4612284069097889
