tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.22877089985657625,0.6936475409836066,0.9991182572614108,0.1047,0.6936475409836066,0.10452231206948188
100,0.8309425185339957,0.7171106557377049,0.6035269709543568,0.9361,0.7180327868852459,0.5305486284289277
200,0.8553398159372452,0.813285519125683,0.7692427385892117,0.8982,0.8138319672131148,0.6216347152052045
300,0.8510569345242054,0.8423838797814208,0.8337655601659751,0.859,0.8426912568306011,0.6505111700113594
400,0.8370668541980268,0.8532786885245902,0.870591286307054,0.8199,0.8534836065573771,0.6561824729891956
500,0.8170787535186329,0.8551571038251367,0.8938796680497926,0.7805,0.855327868852459,0.6479329237921302
600,0.7985021392807915,0.855191256830601,0.9114626556016597,0.7467,0.8553620218579235,0.6378235243871189
700,0.7793279349013938,0.8530737704918033,0.9250518672199171,0.7143,0.8532445355191257,0.6241153342070773
800,0.7627951638063339,0.8502390710382514,0.9347510373443984,0.6873,0.8504098360655737,0.6104992005684846
900,0.7437012578774946,0.8455601092896174,0.9425829875518672,0.6585,0.8457308743169399,0.5928693616638157
1000,0.7226201042218954,0.8402322404371585,0.9491182572614107,0.6303,0.8403346994535519,0.5739914397595848
1100,0.7039616788102333,0.8352117486338798,0.9542012448132781,0.6058,0.8352800546448087,0.5566479830928972
1200,0.6868499216128904,0.8310450819672132,0.9593360995850623,0.5837,0.831113387978142,0.5412648367952523
1300,0.6722806139719745,0.8272882513661202,0.9635373443983403,0.5646,0.8273224043715847,0.5275156498178081
1400,0.654346182660016,0.8220628415300546,0.966804979253112,0.543,0.8220969945355191,0.5103383458646616
1500,0.6420366438016613,0.8187158469945355,0.9699688796680498,0.5271,0.8187841530054645,0.49825125248133095
1600,0.6269839197921303,0.8143101092896174,0.9729253112033195,0.5085,0.8143442622950819,0.4832731419882152
1700,0.612893532686604,0.8099385245901639,0.9754668049792531,0.4908,0.8099726775956284,0.46863362933256947
1800,0.5997944974731181,0.8059084699453551,0.9778526970954357,0.4744,0.8059426229508196,0.4549726671142227
1900,0.5873019958624855,0.8016734972677596,0.979253112033195,0.4593,0.801707650273224,0.4416346153846154
2000,0.5759717154705434,0.7978142076502732,0.9807572614107883,0.4451,0.7978483606557377,0.4291775142223508
