tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.645,0.731,0.995,0.999,0.731,0.467,0.837
100,0.825,0.552,0.155,0.986,0.559,0.948,0.863
200,0.834,0.580,0.218,0.989,0.585,0.941,0.878
300,0.841,0.611,0.289,0.990,0.616,0.933,0.884
400,0.846,0.639,0.356,0.991,0.643,0.923,0.886
500,0.849,0.666,0.417,0.992,0.670,0.915,0.887
600,0.852,0.692,0.479,0.993,0.696,0.906,0.887
700,0.854,0.715,0.532,0.994,0.717,0.897,0.887
800,0.855,0.733,0.579,0.994,0.736,0.887,0.887
900,0.856,0.750,0.622,0.995,0.752,0.878,0.887
1000,0.855,0.765,0.662,0.995,0.767,0.869,0.886
