tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.3058772335838146,0.7132172131147541,0.9990663900414938,0.1621,0.713285519125683,0.1618087442603314
100,0.8441144935311816,0.7348360655737705,0.6220435684647303,0.9523,0.7360655737704918,0.550876381095621
200,0.8741252464287655,0.8300204918032786,0.7803941908713693,0.9257,0.8308743169398907,0.6503442461711395
300,0.8759993331214422,0.859870218579235,0.8395228215767635,0.8991,0.8604166666666667,0.6866503742171988
400,0.8718900971603173,0.8747267759562841,0.8755705394190871,0.8731,0.8751366120218579,0.7041696911041213
500,0.8611632299398185,0.8788251366120219,0.8969398340248963,0.8439,0.8790983606557377,0.7040126804037707
600,0.8514946217962048,0.88125,0.9140041493775933,0.8181,0.8815232240437159,0.7017498713329903
700,0.8387061995580545,0.8802254098360656,0.9265041493775934,0.791,0.880396174863388,0.6928264868179032
800,0.8268651375245558,0.8785860655737705,0.9361514522821577,0.7676,0.8787568306010929,0.6834654082450361
900,0.8134451741451038,0.875,0.9432053941908713,0.7435,0.8751707650273224,0.6701216764308247
1000,0.7982971904419224,0.8708674863387978,0.9496887966804979,0.7189,0.8710382513661202,0.6553327256153145
1100,0.7836364077664458,0.8663934426229508,0.9550829875518673,0.6954,0.8665642076502732,0.6399779127553837
1200,0.7702074903769828,0.862363387978142,0.9601141078838175,0.6739,0.8625683060109289,0.6257776952363265
1300,0.7584239624069327,0.8585382513661202,0.9637966804979253,0.6556,0.8587090163934427,0.6128248270704805
1400,0.7457198763812776,0.8540983606557377,0.966649377593361,0.6371,0.8542691256830601,0.5986094146387296
1500,0.733829693597632,0.8502390710382514,0.9698132780082988,0.6197,0.8504439890710382,0.5856170856170856
1600,0.7195357751819181,0.8455942622950819,0.9727178423236514,0.6005,0.8456967213114754,0.5704921147634429
1700,0.7066781319823979,0.8415300546448088,0.975259336099585,0.5837,0.8416325136612022,0.5571251312398587
1800,0.6946986275398745,0.8378415300546448,0.9775933609958506,0.5684,0.8379439890710383,0.5448619631901841
1900,0.6821087973801623,0.8334699453551913,0.9786825726141078,0.5535,0.8335724043715848,0.5316492171741427
2000,0.6692871335863539,0.8289617486338798,0.9803941908713693,0.537,0.8290300546448087,0.5174407400269802
