tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.18438298408364498,0.683025956284153,0.9990663900414938,0.0737,0.683025956284153,0.07356757835895389
100,0.8178688162127746,0.6821721311475409,0.5511410788381743,0.9348,0.683025956284153,0.5011257639112254
200,0.8449605729607351,0.7902322404371585,0.7357365145228216,0.8953,0.7906079234972677,0.5931103014243126
300,0.8442379276641713,0.8280737704918033,0.8134854771784232,0.8562,0.8283128415300547,0.6297440423654016
400,0.8310338221526414,0.8419740437158469,0.8553423236514522,0.8162,0.8421106557377049,0.6382047071702244
500,0.8149855613664474,0.8472677595628415,0.8825726141078838,0.7792,0.8474043715846995,0.6353555120678408
600,0.7947943149016656,0.8471994535519126,0.9017116182572614,0.7421,0.847370218579235,0.6238755779739387
700,0.7746150704141727,0.8451161202185792,0.916753112033195,0.707,0.8452185792349727,0.6092201637225334
800,0.7572986501666606,0.8424180327868852,0.9283195020746888,0.6768,0.8424863387978142,0.5946230890880337
900,0.7372913760818982,0.8378415300546448,0.937344398340249,0.646,0.8379098360655738,0.5763740185581727
1000,0.7180661847001142,0.8330601092896175,0.9445539419087137,0.6181,0.8330601092896175,0.5584063601047972
1100,0.6998532685676743,0.8283128415300547,0.9506742738589211,0.5924,0.8283128415300547,0.5409551639119715
1200,0.6810261851771369,0.823224043715847,0.9560165975103735,0.5672,0.823224043715847,0.5228613569321534
1300,0.6643187808487508,0.8187158469945355,0.9606846473029046,0.545,0.8187158469945355,0.5065997397285741
1400,0.6455244462085217,0.8131830601092896,0.9646265560165975,0.5212,0.8131830601092896,0.48792360981089683
1500,0.6299283402338373,0.8087431693989071,0.9679979253112033,0.5017,0.8087431693989071,0.47254403315437504
1600,0.6125738362785974,0.8035860655737705,0.970902489626556,0.481,0.8035860655737705,0.45544929457437744
1700,0.5972336118049462,0.7988046448087431,0.9738070539419087,0.4614,0.7988046448087431,0.4392194193241314
1800,0.5806633977268887,0.7939890710382513,0.9763485477178423,0.4424,0.7939890710382513,0.423106350420811
1900,0.563243861675036,0.788353825136612,0.9785269709543568,0.4217,0.788353825136612,0.40493566352986365
2000,0.5486686671979454,0.7836407103825137,0.9801867219917012,0.4047,0.7836407103825137,0.38980928530148334
