fold,accuracy,F1 score,precision,recall
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
2.0,0.9565217391304348,0.9565217391304348,0.9601449275362318,0.9565217391304348
3.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
MEDIA,0.9913043478260869,0.9913043478260869,0.9920289855072465,0.9913043478260869
DESVIO PADRAO,0.019444069369563378,0.019444069369563378,0.017823730255433136,0.019444069369563378
