fold,accuracy,F1 score,precision,recall
0.0,1.0,1.0,1.0,1.0
1.0,0.9666666666666667,0.966280193236715,0.9694444444444444,0.9666666666666667
2.0,0.9333333333333333,0.9333333333333333,0.9361111111111111,0.9333333333333333
3.0,0.9,0.9016806722689076,0.9299999999999999,0.9
4.0,1.0,1.0,1.0,1.0
MEDIA,0.9600000000000002,0.9602588397677913,0.9671111111111111,0.9600000000000002
DESVIO PADRAO,0.04346134936801765,0.04287003888230452,0.03356723490636755,0.04346134936801765
