tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.18438298408364498,0.683025956284153,0.9990663900414938,0.0737,0.683025956284153,0.07356757835895389
100,0.8197851797010993,0.6856215846994536,0.5563796680497926,0.9348,0.6864754098360656,0.503853824179378
200,0.846760940905019,0.7922472677595629,0.7387966804979254,0.8953,0.7926229508196722,0.595437616387337
300,0.8449758096204684,0.8288251366120218,0.8146265560165975,0.8562,0.8290642076502732,0.6307646972152645
400,0.8315289690206439,0.8424521857923497,0.8560684647302904,0.8162,0.8425887978142077,0.6389041095890411
500,0.8154953795230351,0.8478483606557377,0.883454356846473,0.7792,0.8479849726775956,0.6362374459051197
600,0.7953487292726557,0.8477117486338798,0.9024896265560166,0.7421,0.8478825136612022,0.6246632996632997
700,0.7747591727230798,0.8453551912568306,0.9171161825726141,0.707,0.8454576502732241,0.609587859975858
800,0.757576974754964,0.8426912568306011,0.9287344398340249,0.6768,0.8427595628415301,0.5950413223140496
900,0.737480906430759,0.8380464480874317,0.937655601659751,0.646,0.8381147540983607,0.5766827352258526
1000,0.7182627733449071,0.8332991803278689,0.9449170124481328,0.6181,0.8332991803278689,0.5587597179533538
1100,0.7001472909551881,0.828620218579235,0.9511410788381742,0.5924,0.828620218579235,0.5414001096691647
1200,0.6814276217176176,0.8235997267759563,0.9565871369294606,0.5672,0.8235997267759563,0.5233920826797084
1300,0.6645380243578007,0.8189207650273224,0.9609958506224067,0.545,0.8189207650273224,0.5068824404761905
1400,0.6457026237723267,0.813422131147541,0.9650414937759336,0.5211,0.813422131147541,0.4881956155143339
1500,0.6300891239774619,0.808879781420765,0.9682053941908714,0.5017,0.808879781420765,0.4727221332328277
1600,0.6126472882287982,0.8036543715846994,0.97100622406639,0.481,0.8036543715846994,0.4555355620797424
1700,0.5973063981373414,0.7988729508196721,0.9739107883817427,0.4614,0.7988729508196721,0.4393030562696372
1800,0.5807695667544512,0.7940915300546448,0.9765041493775933,0.4424,0.7940915300546448,0.4232277814981345
1900,0.5633308555331406,0.7884562841530055,0.9786825726141078,0.4217,0.7884562841530055,0.4050523484775718
2000,0.5487742251734301,0.7837431693989071,0.9803423236514522,0.4047,0.7837431693989071,0.38992195779940264
