tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.19230710478614785,0.6851092896174863,0.9991182572614108,0.0797,0.6851092896174863,0.07956473994209844
100,0.820847797960443,0.7002390710382513,0.5825726141078839,0.9271,0.7010587431693989,0.5136857269503546
200,0.8421726790786557,0.798292349726776,0.7550829875518672,0.8816,0.7986338797814208,0.5988316804781959
300,0.8332954698230246,0.8282786885245902,0.825259336099585,0.8341,0.8285177595628416,0.6239060513127385
400,0.8137397994117223,0.8385587431693989,0.8643672199170125,0.7888,0.8387295081967213,0.6252873563218391
500,0.791868001710233,0.8414275956284153,0.8896784232365145,0.7484,0.8415642076502732,0.6171353178857095
600,0.7695855442923007,0.8407103825136611,0.9078838174273859,0.7112,0.8408811475409836,0.6039402173913043
700,0.7506852953529924,0.8395833333333333,0.9223547717842324,0.68,0.8397540983606557,0.591458641384709
800,0.728112539123456,0.8349385245901639,0.9321058091286307,0.6476,0.8350751366120218,0.5726412591741091
900,0.7067072501535943,0.8306352459016394,0.9411307053941909,0.6176,0.8307035519125683,0.5546475078581051
1000,0.6886320967572204,0.8264344262295082,0.9475103734439834,0.593,0.8265027322404371,0.5385034507809662
1100,0.6682493229261098,0.821584699453552,0.9532157676348548,0.5678,0.8216188524590164,0.520821867547239
1200,0.6495557053936353,0.8167008196721312,0.958298755186722,0.5437,0.8167008196721312,0.5032395409107738
1300,0.6332043262247012,0.812568306010929,0.9627074688796681,0.5231,0.812568306010929,0.4880119414124452
1400,0.6186097794168327,0.8086065573770492,0.96649377593361,0.5042,0.8086065573770492,0.4736051099004321
1500,0.6030988306872996,0.8037909836065574,0.9695539419087137,0.4842,0.8038251366120218,0.457353357891754
1600,0.5887069283749746,0.7996243169398907,0.9721473029045643,0.467,0.7996584699453552,0.4432001518458764
1700,0.5752211698704198,0.795525956284153,0.9747925311203319,0.4499,0.7955601092896175,0.42904825481594505
1800,0.5641016534297556,0.7921106557377049,0.9776452282157676,0.4344,0.7921106557377049,0.4164509634742594
1900,0.5509509931800504,0.7874316939890711,0.979201244813278,0.4177,0.7874316939890711,0.40159600038457843
2000,0.537938678624671,0.7828210382513662,0.9806016597510373,0.4015,0.7828210382513662,0.38702525544630806
