tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.180,0.535,1.000,1.000,0.535,0.070,0.837
100,0.830,0.747,0.673,0.998,0.748,0.821,0.863
200,0.834,0.780,0.749,0.998,0.780,0.810,0.878
300,0.835,0.804,0.810,0.999,0.804,0.797,0.884
400,0.835,0.821,0.860,0.999,0.822,0.782,0.886
500,0.834,0.831,0.895,0.998,0.832,0.768,0.887
600,0.830,0.836,0.922,0.999,0.837,0.751,0.887
700,0.826,0.839,0.944,0.999,0.839,0.734,0.887
800,0.820,0.837,0.957,0.999,0.838,0.718,0.887
900,0.811,0.833,0.967,0.999,0.833,0.699,0.887
1000,0.801,0.827,0.974,0.999,0.828,0.681,0.886
