tail,f1_macro_medio,f1_macro_std,acc_medio,uuc_acc_medio,inner_medio,outer_medio,halfpoint_medio
0,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
10,0.6884924913833281,0.0925211131805247,0.6713438735177866,0.44861660079051385,0.8940711462450593,0.6713438735177866,0.5836763952892985
20,0.7147872329867623,0.09063346767345723,0.6976284584980237,0.5011857707509881,0.8940711462450593,0.6976284584980237,0.6047415329768271
30,0.7086282905844432,0.1031704589922264,0.6845849802371541,0.5363636363636364,0.8328063241106719,0.6845849802371541,0.5804816407863722
40,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
50,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
60,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
70,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
80,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
90,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
100,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
110,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
120,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
130,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
140,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
150,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
160,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
170,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
180,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
190,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
200,0.7112524200530198,0.11999753892436892,0.6893280632411066,0.5806324110671935,0.7980237154150197,0.6893280632411066,0.5783131067728619
