tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.19230710478614785,0.6851092896174863,0.9991182572614108,0.0797,0.6851092896174863,0.07956473994209844
100,0.8218269580783718,0.7018784153005464,0.5850622406639004,0.9271,0.702698087431694,0.5150555555555556
200,0.8430147613108186,0.7993169398907104,0.7566390041493776,0.8816,0.7996584699453552,0.6000544514021237
300,0.8337796788858038,0.8287568306010928,0.8259854771784232,0.8341,0.8289959016393442,0.6245600898539873
400,0.8139001902241251,0.8387295081967213,0.8646265560165975,0.7888,0.8389002732240437,0.6255352894528152
500,0.7919857477957769,0.8415642076502732,0.8898858921161825,0.7484,0.8417008196721312,0.6173389425059803
600,0.7696459609599802,0.8407786885245901,0.9079875518672199,0.7112,0.8409494535519125,0.6040428061831153
700,0.7508002561135754,0.8397540983606557,0.9226141078838175,0.68,0.8399248633879781,0.591715976331361
800,0.7281313285047083,0.8349726775956284,0.9321576763485477,0.6476,0.8351092896174863,0.5726918995401485
900,0.7068089183915799,0.8307377049180328,0.9412863070539419,0.6176,0.8308060109289618,0.554796981674452
1000,0.6886988677741521,0.8265027322404371,0.9476141078838174,0.593,0.8265710382513661,0.5386012715712988
1100,0.6682493229261098,0.821584699453552,0.9532157676348548,0.5678,0.8216188524590164,0.520821867547239
1200,0.6497006553635066,0.816837431693989,0.9585062240663901,0.5437,0.816837431693989,0.5034259259259259
1300,0.6332759108573247,0.8126366120218579,0.9628112033195021,0.5231,0.8126366120218579,0.48810301390314453
1400,0.6186825848955669,0.8086748633879781,0.966597510373444,0.5042,0.8086748633879781,0.4736940999624201
1500,0.6031559170622782,0.8038592896174863,0.9696576763485477,0.4842,0.8038934426229508,0.4574397732640529
1600,0.5887069283749746,0.7996243169398907,0.9721473029045643,0.467,0.7996584699453552,0.4432001518458764
1700,0.5752517134214403,0.7955601092896175,0.9748443983402489,0.4499,0.795594262295082,0.4290891750119218
1800,0.5641650810521764,0.7921789617486339,0.9777489626556016,0.4344,0.7921789617486339,0.41653082750023973
1900,0.5509509931800504,0.7874316939890711,0.979201244813278,0.4177,0.7874316939890711,0.40159600038457843
2000,0.537938678624671,0.7828210382513662,0.9806016597510373,0.4015,0.7828210382513662,0.38702525544630806
