tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.19230710478614785,0.6851092896174863,0.9991182572614108,0.0797,0.6851092896174863,0.07956473994209844
100,0.8228056194971575,0.7034153005464481,0.587396265560166,0.9271,0.7042349726775956,0.5163464216095796
200,0.8440714933311596,0.8004781420765027,0.758402489626556,0.8816,0.8008196721311476,0.6014463091826988
300,0.8341775056910418,0.8293032786885246,0.8268672199170124,0.834,0.829542349726776,0.6252811515969411
400,0.814314519085016,0.8391734972677596,0.8653008298755187,0.7888,0.839344262295082,0.6261808367071525
500,0.7921925230305658,0.8417691256830601,0.8901970954356846,0.7484,0.8419057377049181,0.6176446315094495
600,0.7698128628170905,0.8409494535519125,0.908246887966805,0.7112,0.841120218579235,0.6042994307077917
700,0.7508867140455198,0.8398224043715847,0.9227178423236515,0.68,0.8399931693989071,0.5918189730200174
800,0.7282328326281668,0.8351092896174863,0.9323651452282158,0.6476,0.8352459016393443,0.5728945506015569
900,0.7068705004194606,0.8308401639344263,0.9414419087136929,0.6176,0.8309084699453552,0.5549465360769161
1000,0.6888337403756316,0.8266393442622951,0.9478215767634854,0.593,0.826707650273224,0.5387970198073778
1100,0.6684555149067765,0.8217896174863388,0.9535269709543569,0.5678,0.8218237704918033,0.5211086637298091
1200,0.649974557376198,0.8170765027322404,0.9588692946058092,0.5437,0.8170765027322404,0.5037524321319373
1300,0.6333654575425535,0.8127049180327869,0.9629149377593361,0.5231,0.8127049180327869,0.48819412039197385
1400,0.6187829553073101,0.8087773224043716,0.966753112033195,0.5042,0.8087773224043716,0.4738276477774645
1500,0.6032899215480051,0.8039617486338798,0.9698132780082988,0.4842,0.8039959016393443,0.45756945756945755
1600,0.5888840597427826,0.7997950819672132,0.9724066390041494,0.467,0.7998292349726775,0.4434105582985188
1700,0.5753269867167277,0.7956284153005464,0.974948132780083,0.4499,0.7956625683060109,0.42917103882476393
1800,0.5641650810521764,0.7921789617486339,0.9777489626556016,0.4344,0.7921789617486339,0.41653082750023973
1900,0.5509833852359004,0.7874658469945355,0.979253112033195,0.4177,0.7874658469945355,0.40163461538461537
2000,0.5380245970322565,0.7828893442622951,0.9807053941908713,0.4015,0.7828893442622951,0.3870998843038951
