tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.709,0.767,0.980,0.990,0.770,0.554,0.794
100,0.825,0.559,0.173,0.986,0.566,0.946,0.813
200,0.827,0.586,0.232,0.986,0.592,0.939,0.841
300,0.827,0.609,0.287,0.986,0.615,0.930,0.855
400,0.827,0.629,0.337,0.985,0.636,0.921,0.862
500,0.826,0.648,0.384,0.984,0.656,0.912,0.865
600,0.828,0.670,0.435,0.984,0.677,0.904,0.867
700,0.828,0.686,0.476,0.984,0.694,0.896,0.868
800,0.828,0.701,0.514,0.983,0.709,0.889,0.869
900,0.828,0.716,0.551,0.982,0.724,0.882,0.869
1000,0.827,0.728,0.580,0.981,0.736,0.875,0.869
