tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.45005259888893173,0.7542349726775956,0.9989626556016598,0.2824,0.7543715846994535,0.2818363273453094
100,0.8506576259182296,0.7418032786885246,0.6255705394190871,0.9659,0.7433060109289618,0.5609501132469946
200,0.8848791582831914,0.8391051912568306,0.7837136929460581,0.9459,0.840129781420765,0.6675370501058574
300,0.8929299464238891,0.8721653005464481,0.841856846473029,0.9306,0.8730191256830601,0.7131580964058548
400,0.8934679785622126,0.8890710382513661,0.8767116182572614,0.9129,0.8898224043715847,0.7375777652096631
500,0.8908741200875911,0.8970628415300547,0.8981327800829876,0.895,0.8976434426229508,0.7480775660314276
600,0.8882829059643929,0.9025614754098361,0.9144190871369294,0.8797,0.9030737704918033,0.7551072961373391
700,0.8847656087473905,0.905327868852459,0.9267116182572614,0.8641,0.9057377049180327,0.7571190747393324
800,0.8790969529032728,0.9056010928961749,0.9360477178423237,0.8469,0.9059084699453552,0.7539392860322265
900,0.8730112853915131,0.9050204918032787,0.9435165975103734,0.8308,0.9052937158469946,0.7492109297502029
1000,0.8656166072037949,0.9029713114754099,0.9489107883817427,0.8144,0.9031762295081968,0.7413746017296313
1100,0.8581487157088752,0.9010928961748634,0.9544605809128631,0.7982,0.9012978142076503,0.733774590917448
1200,0.8518477151888125,0.8996243169398908,0.9596991701244814,0.7838,0.8998292349726776,0.7272895982184281
1300,0.8438596907658035,0.8965163934426229,0.9628112033195021,0.7687,0.8967213114754098,0.7172716245217878
1400,0.836237782565354,0.893681693989071,0.9660269709543569,0.7542,0.8938866120218579,0.7078366963866729
1500,0.8258688494889797,0.8893101092896175,0.9685684647302905,0.7365,0.8895491803278689,0.6944182538185932
1600,0.8174868076359224,0.8862363387978142,0.9716804979253112,0.7215,0.8864754098360655,0.6841456476389153
1700,0.8097667871831057,0.8833674863387978,0.9742219917012448,0.7082,0.8836407103825137,0.6746689530342003
1800,0.8003080020134007,0.8796789617486339,0.9764522821576763,0.6931,0.8799521857923497,0.6629998086856705
1900,0.7901761250402273,0.8753073770491804,0.9779045643153527,0.6775,0.8755464480874317,0.6498177632840975
2000,0.7802755018270889,0.871448087431694,0.979408713692946,0.6633,0.8717213114754099,0.6379724920650187
