tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.21301608679143055,0.6891734972677596,0.9990663900414938,0.0917,0.6891734972677596,0.0915352365741665
100,0.81480812578499,0.6586065573770492,0.50850622406639,0.948,0.6595286885245901,0.4867529266789895
200,0.847198362705199,0.7757172131147541,0.7021265560165975,0.9176,0.7761612021857923,0.5828622244807216
300,0.8556993811844614,0.8238387978142077,0.7906120331950207,0.8879,0.8241803278688524,0.6325425660753722
400,0.8534311906045399,0.8453893442622951,0.8376556016597511,0.8603,0.8455601092896174,0.6552170601675552
500,0.8458810869279761,0.8566598360655737,0.8698651452282158,0.8312,0.8567964480874317,0.6644815732672475
600,0.83621653520572,0.8617486338797814,0.8918568464730291,0.8037,0.8619193989071038,0.6650393049234589
700,0.8259727801497312,0.863422131147541,0.9075726141078838,0.7783,0.863558743169399,0.6605839416058394
800,0.8128894928099036,0.862431693989071,0.921058091286307,0.7494,0.8625,0.650407915292484
900,0.7972446313467864,0.8585040983606558,0.9299273858921162,0.7208,0.8585724043715847,0.6350101312659677
1000,0.7841975656383007,0.8558060109289618,0.9388485477178423,0.6957,0.8558060109289618,0.6223275784953931
1100,0.7661467541016308,0.8503756830601092,0.94600622406639,0.666,0.8503756830601092,0.6032062313196268
1200,0.7521378483441855,0.8462431693989071,0.9513485477178423,0.6436,0.8462431693989071,0.5884073870908758
1300,0.7361642342110669,0.8411885245901639,0.9564315352697096,0.619,0.8411885245901639,0.5710332103321033
1400,0.7212399576055838,0.8363046448087431,0.9604253112033195,0.597,0.8363046448087431,0.5546780637368763
1500,0.7083787855806901,0.8324112021857923,0.9646265560165975,0.5775,0.8324112021857923,0.5406290956749672
1600,0.6938505986788578,0.8273907103825137,0.9678423236514523,0.5566,0.8273907103825137,0.524105461393597
1700,0.6801751335970209,0.8229508196721311,0.970954356846473,0.5376,0.8229508196721311,0.509090909090909
1800,0.6646815712866012,0.8181352459016393,0.9741701244813278,0.5173,0.8181352459016393,0.49276052581444085
1900,0.6505700240024768,0.8135245901639344,0.9765041493775933,0.4993,0.8135245901639344,0.47766191523964413
2000,0.6351578758308666,0.8083333333333333,0.9783195020746888,0.4806,0.8083333333333333,0.46131695143021695
