tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.466,0.641,0.999,0.999,0.641,0.283,0.837
100,0.841,0.623,0.328,0.994,0.626,0.917,0.863
200,0.844,0.654,0.403,0.994,0.657,0.905,0.878
300,0.848,0.689,0.484,0.995,0.691,0.894,0.884
400,0.851,0.721,0.559,0.996,0.723,0.883,0.886
500,0.851,0.744,0.618,0.996,0.746,0.871,0.887
600,0.853,0.769,0.677,0.997,0.770,0.860,0.887
700,0.851,0.786,0.725,0.997,0.787,0.846,0.887
800,0.850,0.799,0.764,0.997,0.800,0.835,0.887
900,0.850,0.812,0.800,0.998,0.813,0.824,0.887
1000,0.849,0.820,0.825,0.998,0.821,0.815,0.886
