tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.3058772335838146,0.7132172131147541,0.9990663900414938,0.1621,0.713285519125683,0.1618087442603314
100,0.8424455988180946,0.7320013661202186,0.6177385892116183,0.9523,0.7332308743169399,0.5482440990213011
200,0.8729956361273438,0.8287568306010928,0.7784751037344398,0.9257,0.8296106557377049,0.6486581178613973
300,0.8755694407841438,0.8593579234972678,0.8387448132780083,0.8991,0.8599043715846995,0.6858646731253337
400,0.8714714231968365,0.874214480874317,0.874792531120332,0.8731,0.8746243169398907,0.703318833574996
500,0.8610442770093406,0.8786885245901639,0.8967323651452282,0.8439,0.8789617486338798,0.7037778333750313
600,0.8511245655539524,0.8809084699453552,0.9134854771784232,0.8181,0.8811816939890711,0.7011484401782654
700,0.8385783224292176,0.8800887978142077,0.9262966804979254,0.791,0.8802595628415301,0.6925838367918746
800,0.8267129010222066,0.8784153005464481,0.9358921161825726,0.7676,0.8785860655737705,0.6831612673549305
900,0.8134025245715016,0.874931693989071,0.9431016597510373,0.7435,0.8751024590163935,0.6700009011444534
1000,0.7981830918501607,0.8707308743169399,0.9494813278008298,0.7189,0.8709016393442623,0.6550938582103153
1100,0.7834252662051184,0.8661885245901639,0.9547717842323652,0.6954,0.8663592896174863,0.6396247240618101
1200,0.7700017832136077,0.8621926229508197,0.9598547717842324,0.6739,0.8623975409836065,0.6254872842027103
1300,0.7582781043675834,0.8584016393442623,0.9635892116182573,0.6556,0.8585724043715847,0.6125957764903757
1400,0.7456637117451538,0.8540300546448087,0.966545643153527,0.6371,0.8542008196721311,0.5984969469234382
1500,0.7335299091225415,0.8499658469945355,0.9693983402489627,0.6197,0.8501707650273224,0.5851746931067044
1600,0.71936849277112,0.8454234972677596,0.9724585062240664,0.6005,0.8455259562841531,0.5702212515430634
1700,0.7066005319806625,0.8414617486338798,0.975155601659751,0.5837,0.8415642076502732,0.5570187995037694
1800,0.6946521739217901,0.8378073770491803,0.9775414937759336,0.5684,0.8379098360655738,0.5448097383302981
1900,0.6820104958211212,0.8333674863387979,0.9785269709543568,0.5535,0.8334699453551913,0.531496062992126
2000,0.6691609094640067,0.8288592896174863,0.9802385892116182,0.537,0.8289275956284153,0.5172912050862152
