tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.21301608679143055,0.6891734972677596,0.9990663900414938,0.0917,0.6891734972677596,0.0915352365741665
100,0.8167788868974806,0.6622609289617486,0.5140560165975103,0.948,0.6631830601092896,0.48944189168258556
200,0.8487691207199379,0.7780396174863388,0.7056535269709544,0.9176,0.778483606557377,0.5853907496012759
300,0.856765322350309,0.8248633879781421,0.7921680497925311,0.8879,0.8252049180327868,0.6338973370457628
400,0.8543398088452996,0.8463114754098361,0.8390560165975104,0.8603,0.8464822404371585,0.6565671983515226
500,0.8462860328558809,0.8571379781420765,0.870591286307054,0.8312,0.8572745901639345,0.6652260904361744
600,0.8367780249556455,0.8622950819672132,0.8926867219917013,0.8037,0.8624658469945355,0.6659209545115585
700,0.8265364485051027,0.8638661202185792,0.908246887966805,0.7783,0.8640027322404371,0.6613136205285071
800,0.8131276945427999,0.8627390710382513,0.9215248962655601,0.7494,0.8628073770491803,0.6509163554243029
900,0.7976155038691943,0.8588456284153005,0.9304460580912863,0.7208,0.8589139344262295,0.6355700555506569
1000,0.7843875216831091,0.8560450819672131,0.9392116182572614,0.6957,0.8560450819672131,0.6227175080558539
1100,0.7664122706862652,0.8506489071038251,0.9464211618257261,0.666,0.8506489071038251,0.6036436146107134
1200,0.7526332230769385,0.8467213114754099,0.9520746887966804,0.6436,0.8467213114754099,0.5891614793116074
1300,0.7365733697185486,0.8415642076502732,0.9570020746887967,0.619,0.8415642076502732,0.571613260688891
1400,0.721456673783912,0.8365437158469945,0.9607883817427386,0.597,0.8365437158469945,0.5550390479732242
1500,0.7085387245869327,0.8325478142076502,0.9648340248962656,0.5775,0.8325478142076502,0.5408316164075669
1600,0.6939667233119236,0.8274931693989072,0.9679979253112033,0.5566,0.8274931693989072,0.524253555618348
1700,0.6802763747739569,0.8230532786885246,0.9711099585062241,0.5376,0.8230532786885246,0.5092355782892868
1800,0.6647850765289384,0.8182377049180328,0.9743257261410788,0.5173,0.8182377049180328,0.4929013816102906
1900,0.6506813072463179,0.8136270491803279,0.9766597510373444,0.4993,0.8136270491803279,0.47779904306220095
2000,0.6352759175773798,0.8084357923497267,0.9784751037344398,0.4806,0.8084357923497267,0.4614498319731157
