tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner_std,outer_medio,outer_std,halfpoint_medio,halfpoint_std
0,0.640913147658957,0.05425421828402447,0.6361660079051383,0.07235577052210587,0.6675889328063243,0.16041004184424712,0.6047430830039525,0.08034514433057335,0.6361660079051383,0.07235577052210587,0.4570873166470889,0.05763863076434111
10,0.6832598285284808,0.09984310527459417,0.6669960474308301,0.10032053488946346,0.4399209486166008,0.2518924916864859,0.8940711462450593,0.06089522584212096,0.6669960474308301,0.10032053488946346,0.5824416085706408,0.061058821701136634
20,0.6836122795378359,0.09035376894463822,0.658300395256917,0.10930551155093214,0.5280632411067193,0.2335242625834447,0.7885375494071145,0.062345436057329194,0.658300395256917,0.10930551155093214,0.5465402377167082,0.07911187311656188
30,0.6605061614806647,0.06698617040944436,0.6409090909090909,0.08987554776199821,0.5976284584980236,0.18148104160988765,0.684189723320158,0.06943933993991382,0.6409090909090909,0.08987554776199821,0.49440172830265705,0.06446110177249469
40,0.640913147658957,0.05425421828402447,0.6361660079051383,0.07235577052210587,0.6675889328063243,0.16041004184424712,0.6047430830039525,0.08034514433057335,0.6361660079051383,0.07235577052210587,0.4570873166470889,0.05763863076434111
50,0.640913147658957,0.05425421828402447,0.6361660079051383,0.07235577052210587,0.6675889328063243,0.16041004184424712,0.6047430830039525,0.08034514433057335,0.6361660079051383,0.07235577052210587,0.4570873166470889,0.05763863076434111
60,0.640913147658957,0.05425421828402447,0.6361660079051383,0.07235577052210587,0.6675889328063243,0.16041004184424712,0.6047430830039525,0.08034514433057335,0.6361660079051383,0.07235577052210587,0.4570873166470889,0.05763863076434111
