tail,f1_macro_medio,acc_medio,uuc_acc_medio,inner_medio,outer_medio,halfpoint_medio
0,0.6576387383789035,0.6533333333333333,0.6142857142857143,0.7015810276679841,0.6533333333333333,0.4778118316318656
100,0.6605492767049814,0.6774117647058823,0.7214285714285713,0.6229249011857707,0.6852549019607844,0.46621164021164024
200,0.7234572134356393,0.728392156862745,0.7428571428571429,0.7110671936758892,0.7323137254901961,0.5445141065830722
300,0.6705640936226261,0.6887843137254903,0.7071428571428571,0.6648221343873518,0.7044705882352942,0.489514687100894
400,0.6692190165680798,0.7005490196078432,0.8142857142857143,0.5600790513833992,0.7005490196078432,0.45607553366174053
500,0.6225580733882621,0.6220392156862745,0.5857142857142856,0.6664031620553359,0.6220392156862745,0.44663419913419916
600,0.6541801868308494,0.6618039215686273,0.6142857142857142,0.7197628458498023,0.6657254901960783,0.4932716568544996
700,0.6849127740733045,0.6970196078431371,0.7071428571428571,0.6845849802371541,0.7010196078431372,0.49987764182424926
800,0.6761692517803141,0.6970196078431373,0.7357142857142858,0.6474308300395257,0.7048627450980393,0.48896369019791186
900,0.6406648132813643,0.6496470588235294,0.6,0.7110671936758892,0.6535686274509804,0.4909767025089605
1000,0.6613734148051387,0.6924705882352942,0.7857142857142857,0.5782608695652174,0.6924705882352942,0.4630598717292266
