tail,f1_macro_medio,acc_medio,uuc_acc_medio,inner_medio,outer_medio,halfpoint_medio
0,0.5507479400705889,0.5396862745098039,0.4,0.7098814229249011,0.5475294117647058,0.4134130781499203
100,0.6911502346505942,0.6890980392156862,0.6428571428571429,0.7458498023715416,0.6890980392156862,0.5176662490475223
200,0.5778331459808987,0.5590588235294118,0.4,0.7557312252964427,0.5629803921568628,0.43427849927849926
300,0.5910402975256166,0.5787450980392157,0.4642857142857143,0.7189723320158102,0.5983529411764705,0.44292533659730715
400,0.6046918437916419,0.6098823529411764,0.5642857142857143,0.666798418972332,0.6138039215686274,0.43828825307483843
500,0.5456592378907076,0.5311372549019607,0.32857142857142857,0.7810276679841898,0.5311372549019607,0.43384566488685483
600,0.6127937736620518,0.6181176470588235,0.5928571428571429,0.650197628458498,0.6181176470588235,0.43395607618838106
700,0.5789639667128912,0.5632156862745099,0.45714285714285713,0.6924901185770751,0.5710588235294118,0.41987441987441987
800,0.5695635531005241,0.5549803921568628,0.42142857142857143,0.7189723320158101,0.5549803921568628,0.4212870146945016
900,0.5642895657549089,0.5589019607843138,0.45,0.691304347826087,0.5785098039215686,0.41523703938338075
1000,0.601809026212692,0.5990588235294118,0.5071428571428571,0.709090909090909,0.5990588235294118,0.4468618618618619
