tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint
0,0.18438298408364498,0.683025956284153,0.9990663900414938,0.0737,0.683025956284153,0.07356757835895389
100,0.8173774946588072,0.68125,0.549740663900415,0.9348,0.682103825136612,0.5004014774369681
200,0.8447156407182003,0.7898565573770492,0.7351659751037345,0.8953,0.7902322404371585,0.592678405931418
300,0.8440356414987235,0.8278688524590164,0.8131742738589212,0.8562,0.8281079234972678,0.6294662549625055
400,0.8308280354252546,0.8417691256830601,0.8550311203319502,0.8162,0.8419057377049181,0.6379054318093005
500,0.8148961418141956,0.8471994535519126,0.8824688796680498,0.7792,0.8473360655737705,0.6352519158649926
600,0.7947796549533873,0.8471653005464481,0.9016597510373444,0.7421,0.8473360655737705,0.6238231338264963
700,0.7746150704141727,0.8451161202185792,0.916753112033195,0.707,0.8452185792349727,0.6092201637225334
800,0.7572804994909526,0.8423838797814208,0.9282676348547718,0.6768,0.8424521857923497,0.5945708512694369
900,0.737226708502872,0.8377732240437158,0.9372406639004149,0.646,0.8378415300546448,0.576271186440678
1000,0.7180268422049348,0.833025956284153,0.9445020746887967,0.6181,0.833025956284153,0.5583559168925023
1100,0.6998532685676743,0.8283128415300547,0.9506742738589211,0.5924,0.8283128415300547,0.5409551639119715
1200,0.6810261851771369,0.823224043715847,0.9560165975103735,0.5672,0.823224043715847,0.5228613569321534
1300,0.6643187808487508,0.8187158469945355,0.9606846473029046,0.545,0.8187158469945355,0.5065997397285741
1400,0.6455244462085217,0.8131830601092896,0.9646265560165975,0.5212,0.8131830601092896,0.48792360981089683
1500,0.6298838151951471,0.8087090163934426,0.9679460580912863,0.5017,0.8087090163934426,0.4724995291015257
1600,0.6125738362785974,0.8035860655737705,0.970902489626556,0.481,0.8035860655737705,0.45544929457437744
1700,0.5971737334634798,0.7987363387978142,0.9737033195020747,0.4614,0.7987363387978142,0.43913581421909204
1800,0.5806323526896392,0.7939549180327868,0.9762966804979253,0.4424,0.7939549180327868,0.42306588887826335
1900,0.563243861675036,0.788353825136612,0.9785269709543568,0.4217,0.788353825136612,0.40493566352986365
2000,0.5486686671979454,0.7836407103825137,0.9801867219917012,0.4047,0.7836407103825137,0.38980928530148334
