tail,f1_macro_medio,f1_macro_std,acc_medio,uuc_acc_medio,inner_medio,outer_medio,halfpoint_medio
0,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
10,0.7056801074356376,0.1037053906505775,0.6887351778656127,0.5007905138339921,0.8766798418972332,0.6887351778656127,0.5958240213648183
20,0.7081702414336946,0.09349627741195443,0.6843873517786562,0.5889328063241107,0.7798418972332015,0.6843873517786562,0.5650308025308025
30,0.683418482882155,0.07397331338158496,0.66699604743083,0.658498023715415,0.675494071146245,0.66699604743083,0.5122628043462889
40,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
50,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
60,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
70,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
80,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
90,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
100,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
110,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
120,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
130,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
140,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
150,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
160,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
170,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
180,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
190,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
200,0.6627351145252035,0.05762989077792957,0.6622529644268775,0.7284584980237154,0.5960474308300395,0.6622529644268775,0.4730596606458676
